NAC2_code,TOTAL_UNITS,TOTAL1,TOTAL2,TOTAL3,TOTAL4,TOTAL5,TOTAL6,TOTAL7,TOTAL8,TOTAL9,TOTAL10,TOTAL1_2,MT1,MT2,MT3,MT4,MT5,MT6,MT7,MT8,MT9,MT10,MT1_2,FT1,FT2,FT3,FT4,FT5,FT6,FT7,FT8,FT9,FT10,FT1_2,WHT1,WHT2,WHT3,WHT4,WHT5,WHT6,WHT7,WHT8,WHT9,WHT10,WHT1_2,WHM1,WHM2,WHM3,WHM4,WHM5,WHM6,WHM7,WHM8,WHM9,WHM10,WHM1_2,WHF1,WHF2,WHF3,WHF4,WHF5,WHF6,WHF7,WHF8,WHF9,WHF10,WHF1_2,BLKT1,BLKT2,BLKT3,BLKT4,BLKT5,BLKT6,BLKT7,BLKT8,BLKT9,BLKT10,BLKT1_2,BLKM1,BLKM2,BLKM3,BLKM4,BLKM5,BLKM6,BLKM7,BLKM8,BLKM9,BLKM10,BLKM1_2,BLKF1,BLKF2,BLKF3,BLKF4,BLKF5,BLKF6,BLKF7,BLKF8,BLKF9,BLKF10,BLKF1_2,HISPT1,HISPT2,HISPT3,HISPT4,HISPT5,HISPT6,HISPT7,HISPT8,HISPT9,HISPT10,HISPT1_2,HISPM1,HISPM2,HISPM3,HISPM4,HISPM5,HISPM6,HISPM7,HISPM8,HISPM9,HISPM10,HISPM1_2,HISPF1,HISPF2,HISPF3,HISPF4,HISPF5,HISPF6,HISPF7,HISPF8,HISPF9,HISPF10,HISPF1_2,ASIANT1,ASIANT2,ASIANT3,ASIANT4,ASIANT5,ASIANT6,ASIANT7,ASIANT8,ASIANT9,ASIANT10,ASIANT1_2,ASIANM1,ASIANM2,ASIANM3,ASIANM4,ASIANM5,ASIANM6,ASIANM7,ASIANM8,ASIANM9,ASIANM10,ASIANM1_2,ASIANF1,ASIANF2,ASIANF3,ASIANF4,ASIANF5,ASIANF6,ASIANF7,ASIANF8,ASIANF9,ASIANF10,ASIANF1_2,AIANT1,AIANT2,AIANT3,AIANT4,AIANT5,AIANT6,AIANT7,AIANT8,AIANT9,AIANT10,AIANT1_2,AIANM1,AIANM2,AIANM3,AIANM4,AIANM5,AIANM6,AIANM7,AIANM8,AIANM9,AIANM10,AIANM1_2,AIANF1,AIANF2,AIANF3,AIANF4,AIANF5,AIANF6,AIANF7,AIANF8,AIANF9,AIANF10,AIANF1_2,nhopiT1,nhopiT2,nhopiT3,nhopiT4,nhopiT5,nhopiT6,nhopiT7,nhopiT8,nhopiT9,nhopiT10,nhopiT1_2,NHOPIM1,NHOPIM2,NHOPIM3,NHOPIM4,NHOPIM5,NHOPIM6,NHOPIM7,NHOPIM8,NHOPIM9,NHOPIM10,NHOPIM1_2,NHOPIF1,NHOPIF2,NHOPIF3,NHOPIF4,NHOPIF5,NHOPIF6,NHOPIF7,NHOPIF8,NHOPIF9,NHOPIF10,NHOPIF1_2,tomrT1,tomrT2,tomrT3,tomrT4,tomrT5,tomrT6,tomrT7,tomrT8,tomrT9,tomrT10,tomrT1_2,TOMRM1,TOMRM2,TOMRM3,TOMRM4,TOMRM5,TOMRM6,TOMRM7,TOMRM8,TOMRM9,TOMRM10,TOMRM1_2
11,1304,8536,14329,6501,7602,13526,12290,41270,165481,11897,300638,19206,6234,8911,3981,5415,3018,11063,32443,111283,7812,204765,14605,2302,5418,2520,2187,10508,1227,8827,54198,4085,95873,4601,3779,11144,4121,6505,8899,6097,13918,20692,2355,91122,13612,3162,6964,2534,4752,1726,5782,12014,14857,1587,63572,10194,617,4180,1587,1753,7173,315,1904,5835,768,27550,3418,59,456,329,131,476,603,4013,10584,619,17815,545,50,238,177,84,109,531,3127,7522,399,12622,385,9,218,152,47,367,72,886,3062,220,5193,160,4543,1530,1696,686,3600,5108,21316,128500,8355,179662,4328,2914,992,1066,425,1060,4348,15827,85450,5402,121013,3529,1629,538,630,261,2540,760,5489,43050,2953,58649,799,99,981,172,113,291,204,1061,3947,235,7544,441,71,583,84,79,65,149,708,2189,177,4406,301,28,398,88,34,226,55,353,1758,58,3138,140,11,49,91,22,80,144,329,615,47,1523,135,7,31,66,7,12,129,276,460,39,1128,101,4,18,25,15,68,15,53,155,8,395,34,6,46,27,60,42,56,289,658,36,1251,31,5,28,17,9,10,51,225,441,20,825,19,1,18,10,51,32,5,64,217,16,426,12,39,123,65,85,138,78,344,485,250,1721,114,25,75,37,59,36,73,266,364,188,1199,76
21,2277,6818,86351,30543,3391,28160,104050,86058,33442,3041,440969,59115,5976,60233,25630,2885,7445,102231,83306,32344,2413,372858,50395,842,26118,4913,506,20715,1819,2752,1098,628,68111,8720,6274,64973,22599,2967,20371,77819,59614,20476,1837,326576,49646,5543,46742,19012,2557,5447,76597,57847,19852,1473,277900,42830,731,18231,3587,410,14924,1222,1767,624,364,48676,6816,61,4476,1926,58,2214,4617,6095,2467,417,23948,1617,39,2478,1532,41,545,4530,5918,2378,366,18985,1158,22,1998,394,17,1669,87,177,89,51,4963,459,275,8103,4525,270,4295,17725,16944,9229,556,67153,5231,231,5268,3932,220,1085,17353,16375,8932,418,58220,4406,44,2835,593,50,3210,372,569,297,138,8933,825,132,6704,622,41,459,640,585,140,137,11062,1602,98,4381,461,25,139,620,529,134,96,7625,1142,34,2323,161,16,320,20,56,6,41,3437,460,30,730,376,20,381,2257,1449,486,46,6274,499,27,464,279,16,98,2170,1299,434,25,5247,435,3,266,97,4,283,87,150,52,21,1027,64,7,164,44,3,65,218,190,85,7,846,63,7,99,39,3,28,213,185,81,5,712,52,0,65,5,0,37,5,5,4,2,134,11,39,1201,451,32,375,774,1181,559,41,5110,457,31,801,375,23,103,748,1153,533,30,4169,372
22,2500,8247,123102,36005,3108,63196,113678,31629,10023,3402,458837,66447,6455,82538,30716,2069,15858,110334,29606,9259,2930,342033,52268,1792,40564,5289,1039,47338,3344,2023,764,472,116804,14179,7406,90560,28766,2261,37621,90313,23345,6726,2407,343650,54245,5874,63676,24797,1597,9425,88035,21856,6174,2087,267448,43927,1532,26884,3969,664,28196,2278,1489,552,320,76202,10318,330,10025,2856,403,13002,10099,3849,1336,575,47093,4618,205,5215,2239,167,2652,9447,3554,1232,463,28174,3000,125,4810,617,236,10350,652,295,104,112,18919,1618,231,9703,2810,267,9161,9356,3264,1556,296,40612,3968,171,5772,2404,176,2733,9111,3115,1477,270,28130,2901,60,3931,406,91,6428,245,149,79,26,12482,1067,198,10495,970,89,1887,1553,370,139,45,18403,2657,136,6432,786,65,634,1505,344,129,40,11797,1726,62,4063,184,24,1253,48,26,10,5,6606,931,35,613,256,14,453,1337,278,94,31,3484,373,30,380,213,11,103,1246,240,88,27,2627,289,5,233,43,3,350,91,38,6,4,857,84,5,244,40,8,192,197,109,28,7,930,100,5,147,31,5,59,189,105,26,5,648,76,0,97,9,3,133,8,4,2,2,282,24,42,1462,307,66,880,823,414,144,41,4665,486,34,916,246,48,252,801,392,133,38,3209,349
23,8581,31366,117085,49664,34254,102136,620632,144647,246973,12629,1502962,143576,27643,92768,46192,24628,29204,609609,139800,234317,9658,1341352,127533,3723,24317,3472,9626,72932,11023,4847,12656,2971,161610,16043,29083,94662,35760,27673,77604,388034,91495,119163,7214,991397,120709,25758,76466,33261,20142,21811,381524,88350,112238,5432,872704,107722,3325,18196,2499,7531,55793,6510,3145,6925,1782,118693,12987,290,4590,3713,1519,6242,41085,14905,28029,1533,105984,4078,233,3063,3495,944,1764,39686,14119,25869,1140,93683,3370,57,1527,218,575,4478,1399,786,2160,393,12301,708,1182,10035,7720,3140,12724,167419,33591,90927,3362,344070,13970,983,7709,7275,2230,3862,165074,32929,88180,2702,323589,12645,199,2326,445,910,8862,2345,662,2747,660,20481,1325,453,5392,1241,827,2847,7013,1058,1854,142,23374,2547,391,3784,1082,558,935,6910,1016,1731,98,18407,1902,62,1608,159,269,1912,103,42,123,44,4967,645,147,519,409,104,560,7497,1828,2713,130,14694,787,118,401,364,70,169,7158,1686,2332,94,13087,695,29,118,45,34,391,339,142,381,36,1607,92,47,392,174,161,506,3301,598,1321,76,6970,394,34,294,150,94,128,3216,582,1272,65,6177,342,13,98,24,67,378,85,16,49,11,793,52,164,1495,647,830,1653,6283,1172,2966,172,16473,1091,126,1051,565,590,535,6041,1118,2695,127,13705,857
31,6631,21965,88131,47012,70610,94661,135449,520531,468729,51210,1649922,151624,17344,47695,27454,48912,27428,119947,370916,268904,27048,1063477,107829,4621,40436,19558,21698,67233,15502,149615,199825,24162,586445,43795,18755,68195,28472,53505,63795,88279,232888,123103,21923,814190,115275,15035,37419,17865,36858,17234,81393,172817,78989,10969,551004,82425,3720,30776,10607,16647,46561,6886,60071,44114,10954,263186,32850,900,5847,6152,6302,9978,13825,100168,114840,9173,279005,11820,609,2706,3128,4594,3489,11300,71402,68450,5056,178717,7983,291,3141,3024,1708,6489,2525,28766,46390,4117,100288,3837,1354,6694,9307,7613,15513,26932,153009,179943,14512,431725,16848,999,3658,4791,5550,4942,22277,104033,91640,8128,258608,12590,355,3036,4516,2063,10571,4655,48976,88303,6384,173117,4258,758,5831,2210,1632,3500,4377,24378,40451,3997,92553,5419,560,3115,1184,946,1186,3182,15390,23437,2092,54420,3328,198,2716,1026,686,2314,1195,8988,17014,1905,38133,2091,51,261,222,272,461,888,3098,2811,201,8870,605,34,134,111,166,120,786,2096,1626,91,5586,422,17,127,111,106,341,102,1002,1185,110,3284,183,39,223,206,201,306,343,2776,4416,339,9200,351,26,123,113,114,100,296,2044,2646,211,5931,258,13,100,93,87,206,47,732,1770,128,3269,93,108,1080,443,1085,1108,805,4214,3165,1065,14379,1306,81,540,262,684,357,713,3134,2116,501,9211,823
32,11401,39568,329922,100185,119221,152008,279911,695174,275255,11948,2262470,259278,32043,200532,75461,74331,42045,259582,540935,192516,8289,1615195,189461,7525,129390,24724,44890,109963,20329,154239,82739,3659,647275,69817,35147,252426,74866,102106,116918,216456,434804,145149,7622,1598179,212685,28650,158327,57821,64744,31355,202548,348571,105057,5496,1160707,158138,6497,94099,17045,37362,85563,13908,86233,40092,2126,437472,54547,688,17012,9309,5428,12615,24047,114580,45578,1753,243862,12852,466,8208,6219,2924,3386,21254,86207,33192,1176,171802,8770,222,8804,3090,2504,9229,2793,28373,12386,577,72060,4082,1310,17179,8903,7282,15118,30052,107485,67643,2043,271968,14953,1027,9789,6764,4301,4860,27401,79256,43720,1299,189302,10885,283,7390,2139,2981,10258,2651,28229,23923,744,82666,4068,2069,38122,5379,2581,4838,5336,26018,11799,320,111901,15439,1644,21213,3415,1326,1671,4761,17383,6910,184,67974,9467,425,16909,1964,1255,3167,575,8635,4889,136,43927,5972,82,997,495,375,624,1863,4748,1498,60,11596,854,60,632,387,243,162,1691,3698,1111,41,8696,671,22,365,108,132,462,172,1050,387,19,2900,183,46,705,306,230,379,601,2213,1185,40,6065,360,30,412,224,122,128,554,1638,781,23,4158,246,16,293,82,108,251,47,575,404,17,1907,114,226,3481,927,1219,1516,1556,5326,2403,110,18899,2135,166,1951,631,671,483,1373,4182,1745,70,12556,1284
33,20978,98746,1143435,348169,193929,331631,667766,1574165,439470,29501,5367815,541003,83328,843991,289638,143133,111011,610332,1140196,311901,20485,3977434,423419,15418,299444,58531,50796,220620,57434,433969,127569,9016,1390381,117584,85811,839112,252253,164211,242679,489483,972336,232633,18098,3738567,441951,72710,631143,214794,123141,77539,455817,735861,169524,12672,2842824,349623,13101,207969,37459,41070,165140,33666,236475,63109,5426,895743,92328,1387,45356,24493,6494,26558,59630,248745,70969,4283,510255,22340,982,28146,18790,3966,9359,50711,167577,50540,3049,349039,15919,405,17210,5703,2528,17199,8919,81168,20429,1234,161216,6421,3038,61478,34412,10545,38445,80642,221414,108847,5638,593930,29471,2423,42876,27816,7157,14611,71920,154660,74696,3824,422483,22500,615,18602,6596,3388,23834,8722,66754,34151,1814,171447,6971,7608,179745,30247,9616,17257,27961,105248,19681,847,439087,40877,6510,129427,22766,6785,7007,22812,62879,11805,562,301278,30725,1098,50318,7481,2831,10250,5149,42369,7876,285,137809,10152,249,3655,1829,524,1464,3898,9017,2089,193,24704,1786,184,2560,1520,357,488,3530,6527,1539,114,18207,1388,65,1095,309,167,976,368,2490,550,79,6497,398,160,2701,1196,400,1173,1844,5293,1732,130,15668,1039,130,1859,966,256,434,1652,3546,1202,68,10863,750,30,842,230,144,739,192,1747,530,62,4805,289,493,11388,3739,2139,4055,4308,12112,3519,312,45604,3539,389,7980,2986,1471,1573,3890,9146,2595,196,32740,2514
42,8703,34731,202978,46548,311831,209968,63601,282241,211099,18504,1565785,184284,28256,120178,38922,197781,62957,59139,241422,148545,13885,1040073,128988,6475,82800,7626,114050,147011,4462,40819,62554,4619,525712,55296,30727,148293,32733,243392,142362,44264,147732,102859,10967,1049497,146168,25214,89306,28035,158219,41331,41960,130283,70233,8252,696146,103313,5513,58987,4698,85173,101031,2304,17449,32626,2715,353351,42855,449,11770,4190,23048,24378,5939,57031,36263,2832,176046,10146,297,5609,3128,11715,7307,5312,47813,28422,2333,118611,6675,152,6161,1062,11333,17071,627,9218,7841,499,57435,3471,1225,14448,5394,30967,28714,10209,60700,59251,3855,229610,14847,919,8166,4465,19673,9401,9069,50695,41053,2728,156683,10514,306,6282,929,11294,19313,1140,10005,18198,1127,72927,4333,2004,24655,3235,7776,9657,1916,10339,7804,433,78280,10461,1590,15021,2506,4645,3342,1622,7230,5112,294,48137,6775,414,9634,729,3131,6315,294,3109,2692,139,30143,3686,79,684,224,1281,851,405,1602,998,78,6749,547,61,376,174,697,242,370,1271,677,52,4305,385,18,308,50,584,609,35,331,321,26,2444,162,53,528,206,912,827,289,1519,1213,79,6068,442,43,291,147,529,290,274,1282,968,58,4168,286,10,237,59,383,537,15,237,245,21,1900,156,194,2600,566,4455,3179,579,3318,2711,260,19535,1673,132,1409,467,2303,1044,532,2848,2080,168,12023,1040
44,33379,29937,127958,103665,2313297,289785,123002,283545,331090,363030,4294160,328851,21835,60311,67639,1147786,91265,108157,210734,243524,192395,2355860,212214,8102,67647,36026,1165511,198520,14845,72811,87566,170635,1938300,116637,26070,93769,69442,1415373,189235,81512,158553,176724,216283,2679065,252104,19314,44614,46154,729798,57397,71188,118627,131980,112073,1495246,164101,6756,49155,23288,685575,131838,10324,39926,44744,104210,1183819,88003,797,8061,8988,357020,35998,8894,45832,55733,45877,591447,24247,510,3572,4963,160956,11446,7697,34482,41713,25780,305721,14602,287,4489,4025,196064,24552,1197,11350,14020,20097,285726,9645,1536,9258,15416,372571,45378,24277,61809,77062,71708,714200,35185,1065,4653,10819,178918,15570,22113,45215,54782,38820,395104,23149,471,4605,4597,193653,29808,2164,16594,22280,32888,319096,12036,1021,13827,6572,79680,9680,5229,8832,10736,15654,161979,10748,666,6068,3747,38862,3522,4444,6127,7333,8443,85654,6442,355,7759,2825,40818,6158,785,2705,3403,7211,76325,4306,82,376,610,13733,1457,586,1737,2002,2504,24413,1326,52,179,339,6300,474,510,1254,1451,1231,12605,815,30,197,271,7433,983,76,483,551,1273,11808,511,66,584,558,9928,1463,615,1712,2094,1616,19616,980,51,275,325,4606,518,545,1228,1457,922,10568,641,15,309,233,5322,945,70,484,637,694,9048,339,365,2083,2079,64992,6574,1889,5070,6739,9388,103440,4261,177,950,1292,28346,2338,1660,3801,4808,5126,50962,2464
45,18199,11589,157101,86730,1720230,543149,57492,133991,348872,245839,3522350,217357,7783,83204,22782,526916,256282,49703,79934,210251,120705,1474612,117052,3806,73897,63948,1193314,286867,7789,54057,138621,125134,2047738,100305,10051,106458,54855,968187,314719,37836,79141,170908,134445,2033607,157007,6813,54991,14640,309554,140778,33000,47223,105295,66344,864273,85635,3238,51467,40215,658633,173941,4836,31918,65613,68101,1169334,71372,243,8283,12025,331685,113177,7576,21849,76759,48339,641222,21286,140,3663,2190,88881,60091,6750,12604,47041,24235,255769,10174,103,4620,9835,242804,53086,826,9245,29718,24104,385453,11112,472,8808,11109,278013,75904,8463,24363,73504,44824,547053,21593,311,4439,3137,84279,35960,7269,14990,41895,20974,224818,11564,161,4369,7972,193734,39944,1194,9373,31609,23850,322235,10029,604,29417,6071,81300,18299,1957,4654,14514,9707,178566,12043,388,17984,2094,24414,8654,1224,2815,8059,4862,77461,6967,216,11433,3977,56886,9645,733,1839,6455,4845,101105,5076,20,534,683,13989,5354,497,1015,2656,1971,27917,1198,11,250,126,4050,2639,451,537,1620,987,11277,606,9,284,557,9939,2715,46,478,1036,984,16640,592,27,440,428,8670,3475,214,624,1954,1330,17942,780,18,239,136,2687,1694,194,393,1172,692,7583,358,9,201,292,5983,1781,20,231,782,638,10359,422,172,3161,1559,38386,12221,949,2345,8577,5223,76043,3450,102,1638,459,13051,6466,815,1372,5169,2611,33431,1748
48,8483,17711,179654,23917,90868,181038,196781,711692,189591,191163,1904502,122087,14139,141803,20323,33564,63390,191497,605848,155833,75776,1394089,91916,3572,37851,3594,57304,117648,5284,105844,33758,115387,510413,30171,14907,146500,17574,53278,108703,142948,400926,83038,98408,1158322,92040,12202,119838,15290,21609,38462,139590,352726,71568,35254,877413,70874,2705,26662,2284,31669,70241,3358,48200,11470,63154,280909,21166,740,10376,2356,15875,29320,20646,179883,53253,46385,370426,11592,495,6464,1762,4293,9508,19757,142212,42140,19594,254275,8050,245,3912,594,11582,19812,889,37671,11113,26791,116151,3542,1185,11445,2544,12952,28406,23206,95580,39125,26711,252764,11610,773,7840,2143,4857,9968,22550,80856,31454,12538,181384,8405,412,3605,401,8095,18438,656,14724,7671,14173,71380,3205,564,7972,861,5848,8776,5687,16508,6787,12213,69615,4399,433,5255,665,1816,3492,5535,14656,5023,5165,44950,2910,131,2717,196,4032,5284,152,1852,1764,7048,24665,1489,84,1059,175,453,1060,1722,4423,1388,1052,12013,597,64,813,144,141,343,1660,3798,1152,415,8984,454,20,246,31,312,717,62,625,236,637,3029,143,56,592,125,865,1611,941,5088,2759,2720,15377,620,35,417,98,194,479,861,4058,1913,1191,9642,396,21,175,27,671,1132,80,1030,846,1529,5735,224,175,1710,282,1597,3162,1631,9284,3241,3674,25985,1229,137,1176,221,654,1138,1544,7542,2583,1619,17441,827
